5s,15s,20d,14n,10s
USGS,2428400,10/1/75,78000,A
USGS,2428400,10/2/75,83000,A
USGS,2428400,10/3/75,81000,A
USGS,2428400,10/4/75,78000,A
USGS,2428400,10/5/75,72000,A
USGS,2428400,10/6/75,65000,A
USGS,2428400,10/7/75,60000,A
USGS,2428400,10/8/75,65000,A
USGS,2428400,10/9/75,70000,A
USGS,2428400,10/10/75,71000,A
USGS,2428400,10/11/75,73000,A
USGS,2428400,10/12/75,73000,A
USGS,2428400,10/13/75,68000,A
USGS,2428400,10/14/75,58000,A
USGS,2428400,10/15/75,50000,A
USGS,2428400,10/16/75,43000,A
USGS,2428400,10/17/75,46000,A
USGS,2428400,10/18/75,58000,A
USGS,2428400,10/19/75,66000,A
USGS,2428400,10/20/75,67000,A
USGS,2428400,10/21/75,65000,A
USGS,2428400,10/22/75,58000,A
USGS,2428400,10/23/75,51000,A
USGS,2428400,10/24/75,46000,A
USGS,2428400,10/25/75,43000,A
USGS,2428400,10/26/75,39000,A
USGS,2428400,10/27/75,37000,A
USGS,2428400,10/28/75,34000,A
USGS,2428400,10/29/75,31000,A
USGS,2428400,10/30/75,31000,A
USGS,2428400,10/31/75,28000,A
USGS,2428400,11/1/75,31100,A
USGS,2428400,11/2/75,31800,A
USGS,2428400,11/3/75,28000,A
USGS,2428400,11/4/75,18100,A
USGS,2428400,11/5/75,19800,A
USGS,2428400,11/6/75,26400,A
USGS,2428400,11/7/75,33200,A
USGS,2428400,11/8/75,33100,A
USGS,2428400,11/9/75,27800,A
USGS,2428400,11/10/75,20900,A
USGS,2428400,11/11/75,18800,A
USGS,2428400,11/12/75,28000,A
USGS,2428400,11/13/75,40000,A
USGS,2428400,11/14/75,43000,A
USGS,2428400,11/15/75,49000,A
USGS,2428400,11/16/75,54000,A
USGS,2428400,11/17/75,46000,A
USGS,2428400,11/18/75,37000,A
USGS,2428400,11/19/75,26000,A
USGS,2428400,11/20/75,27000,A
USGS,2428400,11/21/75,31000,A
USGS,2428400,11/22/75,34000,A
USGS,2428400,11/23/75,34000,A
USGS,2428400,11/24/75,34000,A
USGS,2428400,11/25/75,28000,A
USGS,2428400,11/26/75,28000,A
USGS,2428400,11/27/75,28000,A
USGS,2428400,11/28/75,28000,A
USGS,2428400,11/29/75,28000,A
USGS,2428400,11/30/75,23000,A
USGS,2428400,12/1/75,28000,A
USGS,2428400,12/2/75,31000,A
USGS,2428400,12/3/75,35000,A
USGS,2428400,12/4/75,40200,A
USGS,2428400,12/5/75,47900,A
USGS,2428400,12/6/75,47300,A
USGS,2428400,12/7/75,42800,A
USGS,2428400,12/8/75,36500,A
USGS,2428400,12/9/75,29300,A
USGS,2428400,12/10/75,28000,A
USGS,2428400,12/11/75,25500,A
USGS,2428400,12/12/75,29500,A
USGS,2428400,12/13/75,31400,A
USGS,2428400,12/14/75,31400,A
USGS,2428400,12/15/75,30400,A
USGS,2428400,12/16/75,27100,A
USGS,2428400,12/17/75,18900,A
USGS,2428400,12/18/75,32600,A
USGS,2428400,12/19/75,40000,A
USGS,2428400,12/20/75,41900,A
USGS,2428400,12/21/75,35300,A
USGS,2428400,12/22/75,29400,A
USGS,2428400,12/23/75,20800,A
USGS,2428400,12/24/75,29700,A
USGS,2428400,12/25/75,32400,A
USGS,2428400,12/26/75,37000,A
USGS,2428400,12/27/75,48900,A
USGS,2428400,12/28/75,50900,A
USGS,2428400,12/29/75,51500,A
USGS,2428400,12/30/75,49400,A
USGS,2428400,12/31/75,68900,A
USGS,2428400,1/1/76,84700,A
USGS,2428400,1/2/76,99200,A
USGS,2428400,1/3/76,101000,A
USGS,2428400,1/4/76,107000,A
USGS,2428400,1/5/76,111000,A
USGS,2428400,1/6/76,110000,A
USGS,2428400,1/7/76,88200,A
USGS,2428400,1/8/76,83200,A
USGS,2428400,1/9/76,78600,A
USGS,2428400,1/10/76,80600,A
USGS,2428400,1/11/76,73500,A
USGS,2428400,1/12/76,70500,A
USGS,2428400,1/13/76,63600,A
USGS,2428400,1/14/76,61800,A
USGS,2428400,1/15/76,64700,A
USGS,2428400,1/16/76,61500,A
USGS,2428400,1/17/76,57400,A
USGS,2428400,1/18/76,53200,A
USGS,2428400,1/19/76,51800,A
USGS,2428400,1/20/76,45400,A
USGS,2428400,1/21/76,44600,A
USGS,2428400,1/22/76,37000,A
USGS,2428400,1/23/76,36000,A
USGS,2428400,1/24/76,36500,A
USGS,2428400,1/25/76,35600,A
USGS,2428400,1/26/76,40200,A
USGS,2428400,1/27/76,77600,A
USGS,2428400,1/28/76,91800,A
USGS,2428400,1/29/76,110000,A
USGS,2428400,1/30/76,113000,A
USGS,2428400,1/31/76,110000,A
USGS,2428400,2/1/76,102000,A
USGS,2428400,2/2/76,85600,A
USGS,2428400,2/3/76,76500,A
USGS,2428400,2/4/76,72800,A
USGS,2428400,2/5/76,66800,A
USGS,2428400,2/6/76,59100,A
USGS,2428400,2/7/76,54700,A
USGS,2428400,2/8/76,53500,A
USGS,2428400,2/9/76,49300,A
USGS,2428400,2/10/76,46000,A
USGS,2428400,2/11/76,41000,A
USGS,2428400,2/12/76,40000,A
USGS,2428400,2/13/76,38000,A
USGS,2428400,2/14/76,37000,A
USGS,2428400,2/15/76,35000,A
USGS,2428400,2/16/76,32000,A
USGS,2428400,2/17/76,32000,A
USGS,2428400,2/18/76,33000,A
USGS,2428400,2/19/76,30000,A
USGS,2428400,2/20/76,31000,A
USGS,2428400,2/21/76,37500,A
USGS,2428400,2/22/76,52100,A
USGS,2428400,2/23/76,64700,A
USGS,2428400,2/24/76,62900,A
USGS,2428400,2/25/76,55200,A
USGS,2428400,2/26/76,46900,A
USGS,2428400,2/27/76,44500,A
USGS,2428400,2/28/76,39700,A
USGS,2428400,2/29/76,34000,A
USGS,2428400,3/1/76,19000,A
USGS,2428400,3/2/76,17200,A
USGS,2428400,3/3/76,21100,A
USGS,2428400,3/4/76,25400,A
USGS,2428400,3/5/76,23200,A
USGS,2428400,3/6/76,22700,A
USGS,2428400,3/7/76,24200,A
USGS,2428400,3/8/76,24200,A
