Year,Daily_Max_Temp,Days_Above_33_6,Consecutive_Heatwave_Days,Number_of_Heatwaves
1970,37.2252,42,6,7
1971,36.6696,29,8,4
1972,37.2252,61,11,11
1973,36.114,47,12,6
1974,35.5584,14,4,1
1975,35.0028,19,5,3
1976,37.7808,41,7,7
1977,36.114,42,9,7
1978,36.6696,46,19,5
1979,36.114,22,7,4
1980,39.4476,61,21,8
1981,37.2252,38,15,4
1982,35.0028,25,6,4
1983,36.6696,23,9,2
1984,35.5584,14,4,1
1985,37.2252,24,7,4
1986,37.7808,37,8,4
1987,36.114,34,6,5
1988,37.7808,36,9,4
1989,36.6696,28,6,6
1990,37.2252,55,19,6
1991,35.5584,29,7,4
1992,37.2252,24,10,4
1993,36.114,37,7,6
1994,34.4472,13,2,0
1995,37.2252,49,9,9
1996,35.5584,20,4,3
1997,36.114,31,7,4
1998,37.2252,51,8,10
1999,37.2252,34,11,4
2000,40.5588,50,18,5
2001,35.0028,13,5,2
2002,35.5584,16,4,1
2003,34.4472,11,3,2
2004,36.114,16,5,2
2005,36.114,32,7,3
2006,36.114,46,7,7
2007,38.3364,32,12,4
2008,36.114,17,7,1
2009,38.3364,33,22,1
2010,38.3364,62,16,8
2011,39.4476,80,33,4
2012,36.114,34,8,4
2013,35.0028,24,8,2
2014,36.6696,15,5,2
2015,36.6696,49,15,6
2016,36.114,34,6,6
2017,35.5584,21,5,4
2018,36.114,43,8,8
2019,37.7808,79,17,9
2020,35.0028,16,4,2
2021,35.5584,16,6,2
