5s,15s,20d,14n,10s
USGS,2469761,10/1/60,2950,A
USGS,2469761,10/2/60,3880,A
USGS,2469761,10/3/60,4820,A
USGS,2469761,10/4/60,1720,A
USGS,2469761,10/5/60,1270,A
USGS,2469761,10/6/60,1290,A
USGS,2469761,10/7/60,1390,A
USGS,2469761,10/8/60,10300,A
USGS,2469761,10/9/60,7520,A
USGS,2469761,10/10/60,3370,A
USGS,2469761,10/11/60,6860,A
USGS,2469761,10/12/60,7600,A
USGS,2469761,10/13/60,7370,A
USGS,2469761,10/14/60,4620,A
USGS,2469761,10/15/60,7190,A
USGS,2469761,10/16/60,4450,A
USGS,2469761,10/17/60,4900,A
USGS,2469761,10/18/60,5520,A
USGS,2469761,10/19/60,5050,A
USGS,2469761,10/20/60,3870,A
USGS,2469761,10/21/60,6450,A
USGS,2469761,10/22/60,3940,A
USGS,2469761,10/23/60,4190,A
USGS,2469761,10/24/60,3900,A
USGS,2469761,10/25/60,6720,A
USGS,2469761,10/26/60,5720,A
USGS,2469761,10/27/60,4650,A
USGS,2469761,10/28/60,4500,A
USGS,2469761,10/29/60,4500,A
USGS,2469761,10/30/60,2720,A
USGS,2469761,10/31/60,18800,A
USGS,2469761,11/1/60,10300,A
USGS,2469761,11/2/60,9360,A
USGS,2469761,11/3/60,11600,A
USGS,2469761,11/4/60,8060,A
USGS,2469761,11/5/60,9770,A
USGS,2469761,11/6/60,7260,A
USGS,2469761,11/7/60,6500,A
USGS,2469761,11/8/60,5920,A
USGS,2469761,11/9/60,5920,A
USGS,2469761,11/10/60,5130,A
USGS,2469761,11/11/60,5540,A
USGS,2469761,11/12/60,8170,A
USGS,2469761,11/13/60,9870,A
USGS,2469761,11/14/60,9190,A
USGS,2469761,11/15/60,9250,A
USGS,2469761,11/16/60,9340,A
USGS,2469761,11/17/60,6700,A
USGS,2469761,11/18/60,7000,A
USGS,2469761,11/19/60,6760,A
USGS,2469761,11/20/60,6160,A
USGS,2469761,11/21/60,6880,A
USGS,2469761,11/22/60,6680,A
USGS,2469761,11/23/60,10200,A
USGS,2469761,11/24/60,3820,A
USGS,2469761,11/25/60,12000,A
USGS,2469761,11/26/60,11400,A
USGS,2469761,11/27/60,12800,A
USGS,2469761,11/28/60,10700,A
USGS,2469761,11/29/60,9300,A
USGS,2469761,11/30/60,10800,A
USGS,2469761,12/1/60,10200,A
USGS,2469761,12/2/60,9210,A
USGS,2469761,12/3/60,10200,A
USGS,2469761,12/4/60,8460,A
USGS,2469761,12/5/60,7560,A
USGS,2469761,12/6/60,7130,A
USGS,2469761,12/7/60,7170,A
USGS,2469761,12/8/60,7360,A
USGS,2469761,12/9/60,6250,A
USGS,2469761,12/10/60,5280,A
USGS,2469761,12/11/60,6860,A
USGS,2469761,12/12/60,8080,A
USGS,2469761,12/13/60,8300,A
USGS,2469761,12/14/60,9500,A
USGS,2469761,12/15/60,10600,A
USGS,2469761,12/16/60,10900,A
USGS,2469761,12/17/60,10200,A
USGS,2469761,12/18/60,8970,A
USGS,2469761,12/19/60,8760,A
USGS,2469761,12/20/60,8560,A
USGS,2469761,12/21/60,13200,A
USGS,2469761,12/22/60,16400,A
USGS,2469761,12/23/60,16600,A
USGS,2469761,12/24/60,16900,A
USGS,2469761,12/25/60,13800,A
USGS,2469761,12/26/60,13100,A
USGS,2469761,12/27/60,11800,A
USGS,2469761,12/28/60,11100,A
USGS,2469761,12/29/60,12600,A
USGS,2469761,12/30/60,14500,A
USGS,2469761,12/31/60,10100,A
USGS,2469761,1/1/61,23300,A
USGS,2469761,1/2/61,31800,A
USGS,2469761,1/3/61,32600,A
USGS,2469761,1/4/61,35400,A
USGS,2469761,1/5/61,27100,A
USGS,2469761,1/6/61,25400,A
USGS,2469761,1/7/61,23000,A
USGS,2469761,1/8/61,21100,A
USGS,2469761,1/9/61,19000,A
USGS,2469761,1/10/61,17000,A
USGS,2469761,1/11/61,12500,A
USGS,2469761,1/12/61,13300,A
USGS,2469761,1/13/61,12600,A
USGS,2469761,1/14/61,13900,A
USGS,2469761,1/15/61,15500,A
USGS,2469761,1/16/61,13600,A
USGS,2469761,1/17/61,11900,A
USGS,2469761,1/18/61,11100,A
USGS,2469761,1/19/61,12100,A
USGS,2469761,1/20/61,13300,A
USGS,2469761,1/21/61,14900,A
USGS,2469761,1/22/61,16100,A
USGS,2469761,1/23/61,16500,A
USGS,2469761,1/24/61,13800,A
USGS,2469761,1/25/61,16700,A
USGS,2469761,1/26/61,21500,A
USGS,2469761,1/27/61,25300,A
USGS,2469761,1/28/61,20900,A
USGS,2469761,1/29/61,19100,A
USGS,2469761,1/30/61,15800,A
USGS,2469761,1/31/61,14200,A
USGS,2469761,2/1/61,13300,A
USGS,2469761,2/2/61,13400,A
USGS,2469761,2/3/61,13000,A
USGS,2469761,2/4/61,13700,A
USGS,2469761,2/5/61,16800,A
USGS,2469761,2/6/61,18200,A
USGS,2469761,2/7/61,17200,A
USGS,2469761,2/8/61,16400,A
USGS,2469761,2/9/61,16500,A
USGS,2469761,2/10/61,20800,A
USGS,2469761,2/11/61,22300,A
USGS,2469761,2/12/61,19000,A
USGS,2469761,2/13/61,17500,A
USGS,2469761,2/14/61,15200,A
USGS,2469761,2/15/61,14000,A
USGS,2469761,2/16/61,13900,A
USGS,2469761,2/17/61,16600,A
USGS,2469761,2/18/61,65300,A
USGS,2469761,2/19/61,79600,A
USGS,2469761,2/20/61,87400,A
USGS,2469761,2/21/61,103000,A
USGS,2469761,2/22/61,126000,A
USGS,2469761,2/23/61,132000,A
USGS,2469761,2/24/61,145000,A
USGS,2469761,2/25/61,165000,A
USGS,2469761,2/26/61,184000,A
USGS,2469761,2/27/61,199000,A
USGS,2469761,2/28/61,216000,A
USGS,2469761,3/1/61,230000,A
USGS,2469761,3/2/61,243000,A
USGS,2469761,3/3/61,249000,A
USGS,2469761,3/4/61,251000,A
USGS,2469761,3/5/61,247000,A
USGS,2469761,3/6/61,242000,A
USGS,2469761,3/7/61,236000,A
USGS,2469761,3/8/61,226000,A
USGS,2469761,3/9/61,214000,A
USGS,2469761,3/10/61,200000,A
USGS,2469761,3/11/61,181000,A
USGS,2469761,3/12/61,167000,A
USGS,2469761,3/13/61,155000,A
USGS,2469761,3/14/61,144000,A
USGS,2469761,3/15/61,134000,A
USGS,2469761,3/16/61,126000,A
USGS,2469761,3/17/61,120000,A
USGS,2469761,3/18/61,115000,A
USGS,2469761,3/19/61,112000,A
USGS,2469761,3/20/61,108000,A
USGS,2469761,3/21/61,105000,A
USGS,2469761,3/22/61,102000,A
USGS,2469761,3/23/61,98100,A
USGS,2469761,3/24/61,95200,A
USGS,2469761,3/25/61,92200,A
USGS,2469761,3/26/61,87400,A
USGS,2469761,3/27/61,81500,A
USGS,2469761,3/28/61,80300,A
USGS,2469761,3/29/61,83700,A
USGS,2469761,3/30/61,90900,A
USGS,2469761,3/31/61,103000,A
USGS,2469761,4/1/61,114000,A
USGS,2469761,4/2/61,118000,A
USGS,2469761,4/3/61,120000,A
USGS,2469761,4/4/61,122000,A
USGS,2469761,4/5/61,123000,A
USGS,2469761,4/6/61,125000,A
USGS,2469761,4/7/61,127000,A
USGS,2469761,4/8/61,128000,A
USGS,2469761,4/9/61,128000,A
USGS,2469761,4/10/61,127000,A
USGS,2469761,4/11/61,124000,A
USGS,2469761,4/12/61,120000,A
USGS,2469761,4/13/61,117000,A
USGS,2469761,4/14/61,113000,A
USGS,2469761,4/15/61,110000,A
USGS,2469761,4/16/61,106000,A
USGS,2469761,4/17/61,99700,A
USGS,2469761,4/18/61,91300,A
USGS,2469761,4/19/61,80500,A
USGS,2469761,4/20/61,70000,A
USGS,2469761,4/21/61,58600,A
USGS,2469761,4/22/61,25100,A
USGS,2469761,4/23/61,24000,A
USGS,2469761,4/24/61,21500,A
USGS,2469761,4/25/61,17900,A
USGS,2469761,4/26/61,18200,A
USGS,2469761,4/27/61,19500,A
USGS,2469761,4/28/61,27900,A
USGS,2469761,4/29/61,33500,A
USGS,2469761,4/30/61,33900,A
USGS,2469761,5/1/61,31500,A
USGS,2469761,5/2/61,21300,A
USGS,2469761,5/3/61,17400,A
USGS,2469761,5/4/61,18800,A
USGS,2469761,5/5/61,18000,A
USGS,2469761,5/6/61,16800,A
USGS,2469761,5/7/61,14300,A
USGS,2469761,5/8/61,13100,A
USGS,2469761,5/9/61,14300,A
USGS,2469761,5/10/61,14300,A
USGS,2469761,5/11/61,20300,A
USGS,2469761,5/12/61,20200,A
USGS,2469761,5/13/61,17100,A
USGS,2469761,5/14/61,15800,A
USGS,2469761,5/15/61,15200,A
USGS,2469761,5/16/61,11800,A
USGS,2469761,5/17/61,11600,A
USGS,2469761,5/18/61,11500,A
USGS,2469761,5/19/61,16900,A
USGS,2469761,5/20/61,14700,A
USGS,2469761,5/21/61,12600,A
USGS,2469761,5/22/61,11200,A
USGS,2469761,5/23/61,9920,A
USGS,2469761,5/24/61,8770,A
USGS,2469761,5/25/61,7320,A
USGS,2469761,5/26/61,9180,A
USGS,2469761,5/27/61,7360,A
USGS,2469761,5/28/61,7280,A
USGS,2469761,5/29/61,10700,A
USGS,2469761,5/30/61,9600,A
USGS,2469761,5/31/61,9210,A
USGS,2469761,6/1/61,8030,A
USGS,2469761,6/2/61,6830,A
USGS,2469761,6/3/61,7070,A
USGS,2469761,6/4/61,6330,A
USGS,2469761,6/5/61,6280,A
USGS,2469761,6/6/61,6280,A
USGS,2469761,6/7/61,6240,A
USGS,2469761,6/8/61,5290,A
USGS,2469761,6/9/61,3800,A
USGS,2469761,6/10/61,5680,A
USGS,2469761,6/11/61,7120,A
USGS,2469761,6/12/61,8080,A
USGS,2469761,6/13/61,7840,A
USGS,2469761,6/14/61,8870,A
USGS,2469761,6/15/61,8420,A
USGS,2469761,6/16/61,9010,A
USGS,2469761,6/17/61,8360,A
USGS,2469761,6/18/61,7250,A
USGS,2469761,6/19/61,8150,A
USGS,2469761,6/20/61,13300,A
USGS,2469761,6/21/61,32200,A
USGS,2469761,6/22/61,25800,A
USGS,2469761,6/23/61,19000,A
USGS,2469761,6/24/61,17300,A
USGS,2469761,6/25/61,21100,A
USGS,2469761,6/26/61,29300,A
USGS,2469761,6/27/61,43700,A
USGS,2469761,6/28/61,35500,A
USGS,2469761,6/29/61,23700,A
USGS,2469761,6/30/61,15200,A
USGS,2469761,7/1/61,14100,A
USGS,2469761,7/2/61,10800,A
USGS,2469761,7/3/61,11900,A
USGS,2469761,7/4/61,12000,A
USGS,2469761,7/5/61,11600,A
USGS,2469761,7/6/61,8070,A
USGS,2469761,7/7/61,8120,A
USGS,2469761,7/8/61,7360,A
USGS,2469761,7/9/61,10100,A
USGS,2469761,7/10/61,10900,A
USGS,2469761,7/11/61,15600,A
USGS,2469761,7/12/61,26800,A
USGS,2469761,7/13/61,34500,A
USGS,2469761,7/14/61,43900,A
USGS,2469761,7/15/61,44500,A
USGS,2469761,7/16/61,41600,A
USGS,2469761,7/17/61,38800,A
USGS,2469761,7/18/61,34800,A
USGS,2469761,7/19/61,33000,A
USGS,2469761,7/20/61,28300,A
USGS,2469761,7/21/61,22600,A
USGS,2469761,7/22/61,21500,A
USGS,2469761,7/23/61,18700,A
USGS,2469761,7/24/61,16300,A
USGS,2469761,7/25/61,15400,A
USGS,2469761,7/26/61,15300,A
USGS,2469761,7/27/61,13200,A
USGS,2469761,7/28/61,11400,A
USGS,2469761,7/29/61,12800,A
USGS,2469761,7/30/61,8990,A
USGS,2469761,7/31/61,8050,A
USGS,2469761,8/1/61,8100,A
USGS,2469761,8/2/61,5900,A
USGS,2469761,8/3/61,4830,A
USGS,2469761,8/4/61,8480,A
USGS,2469761,8/5/61,7460,A
USGS,2469761,8/6/61,4830,A
USGS,2469761,8/7/61,10700,A
USGS,2469761,8/8/61,11500,A
USGS,2469761,8/9/61,9920,A
USGS,2469761,8/10/61,7210,A
USGS,2469761,8/11/61,6510,A
USGS,2469761,8/12/61,6660,A
USGS,2469761,8/13/61,5250,A
USGS,2469761,8/14/61,5510,A
USGS,2469761,8/15/61,5120,A
USGS,2469761,8/16/61,8220,A
USGS,2469761,8/17/61,12700,A
USGS,2469761,8/18/61,9300,A
USGS,2469761,8/19/61,12200,A
USGS,2469761,8/20/61,17200,A
USGS,2469761,8/21/61,13300,A
USGS,2469761,8/22/61,8170,A
USGS,2469761,8/23/61,9880,A
USGS,2469761,8/24/61,7150,A
USGS,2469761,8/25/61,9360,A
USGS,2469761,8/26/61,8780,A
USGS,2469761,8/27/61,8120,A
USGS,2469761,8/28/61,6710,A
USGS,2469761,8/29/61,8120,A
USGS,2469761,8/30/61,6910,A
USGS,2469761,8/31/61,7030,A
USGS,2469761,9/1/61,7560,A
USGS,2469761,9/2/61,5830,A
USGS,2469761,9/3/61,11900,A
USGS,2469761,9/4/61,11300,A
USGS,2469761,9/5/61,6310,A
USGS,2469761,9/6/61,8340,A
USGS,2469761,9/7/61,7260,A
USGS,2469761,9/8/61,7240,A
USGS,2469761,9/9/61,5240,A
USGS,2469761,9/10/61,6880,A
USGS,2469761,9/11/61,5490,A
USGS,2469761,9/12/61,5360,A
USGS,2469761,9/13/61,5070,A
USGS,2469761,9/14/61,7870,A
USGS,2469761,9/15/61,7440,A
USGS,2469761,9/16/61,5660,A
USGS,2469761,9/17/61,4810,A
USGS,2469761,9/18/61,4560,A
USGS,2469761,9/19/61,4570,A
USGS,2469761,9/20/61,4620,A
USGS,2469761,9/21/61,4610,A
USGS,2469761,9/22/61,4630,A
USGS,2469761,9/23/61,4500,A
USGS,2469761,9/24/61,4680,A
USGS,2469761,9/25/61,3380,A
USGS,2469761,9/26/61,3270,A
USGS,2469761,9/27/61,3710,A
USGS,2469761,9/28/61,3730,A
USGS,2469761,9/29/61,2620,A
USGS,2469761,9/30/61,1930,A
USGS,2469761,10/1/61,1990,A
USGS,2469761,10/2/61,5080,A
USGS,2469761,10/3/61,4930,A
USGS,2469761,10/4/61,3360,A
USGS,2469761,10/5/61,3730,A
USGS,2469761,10/6/61,4060,A
USGS,2469761,10/7/61,4720,A
USGS,2469761,10/8/61,4590,A
USGS,2469761,10/9/61,4010,A
USGS,2469761,10/10/61,4590,A
USGS,2469761,10/11/61,3230,A
USGS,2469761,10/12/61,4370,A
USGS,2469761,10/13/61,3040,A
